year,zone,temp
1944,D.24N-EQU,0.11
1944,F.EQU-24S,0.26
1944,G.24S-44S,0.19
1944,H.44S-64S,-0.09
1944,I.64S-90S,-0.21
1945,A.90N-64N,0.38
1945,B.64N-44N,-0.03
1945,C.44N-24N,0.06
1945,D.24N-EQU,0.1
1945,F.EQU-24S,0.24
1945,G.24S-44S,0.04
1945,H.44S-64S,0
1945,I.64S-90S,-1.85
1946,A.90N-64N,-0.2
1946,B.64N-44N,-0.02
1946,C.44N-24N,0.19
1946,D.24N-EQU,-0.02
1946,F.EQU-24S,-0.08
1946,G.24S-44S,-0.22
1946,H.44S-64S,-0.24
1946,I.64S-90S,0.02
1947,A.90N-64N,0.87
1947,B.64N-44N,-0.13
1947,C.44N-24N,0.05
1947,D.24N-EQU,-0.04
1947,F.EQU-24S,-0.11
1947,G.24S-44S,-0.18
1947,H.44S-64S,-0.08
1947,I.64S-90S,0.03
1948,A.90N-64N,0.08
1948,B.64N-44N,0.33
1948,C.44N-24N,0.02
1948,D.24N-EQU,-0.23
1948,F.EQU-24S,-0.17
1948,G.24S-44S,-0.19
1948,H.44S-64S,-0.19
1948,I.64S-90S,-1.01
1949,A.90N-64N,0.14
1949,B.64N-44N,0.16
1949,C.44N-24N,0.07
1949,D.24N-EQU,-0.24
1949,F.EQU-24S,-0.17
1949,G.24S-44S,-0.16
1949,H.44S-64S,-0.14
1949,I.64S-90S,-1.29
1950,A.90N-64N,0
1950,B.64N-44N,-0.33
1950,C.44N-24N,0.03
1950,D.24N-EQU,-0.3
1950,F.EQU-24S,-0.29
1950,G.24S-44S,-0.06
1950,H.44S-64S,-0.16
1950,I.64S-90S,-0.72
1951,A.90N-64N,-0.04
1951,B.64N-44N,0.02
1951,C.44N-24N,0.14
1951,D.24N-EQU,0
1951,F.EQU-24S,-0.13
1951,G.24S-44S,-0.21
1951,H.44S-64S,-0.16
1951,I.64S-90S,-0.18
1952,A.90N-64N,0.09
1952,B.64N-44N,-0.08
1952,C.44N-24N,0.19
1952,D.24N-EQU,-0.01
1952,F.EQU-24S,0.03
1952,G.24S-44S,-0.09
1952,H.44S-64S,-0.02
1952,I.64S-90S,-0.37
1953,A.90N-64N,0.8
1953,B.64N-44N,0.35
1953,C.44N-24N,0.17
1953,D.24N-EQU,0.08
1953,F.EQU-24S,0.05
1953,G.24S-44S,-0.08
1953,H.44S-64S,-0.24
1953,I.64S-90S,-1.34
1954,A.90N-64N,0.5
1954,B.64N-44N,-0.22
1954,C.44N-24N,0.01
1954,D.24N-EQU,-0.15
1954,F.EQU-24S,-0.29
1954,G.24S-44S,-0.17
1954,H.44S-64S,-0.2
1954,I.64S-90S,-0.77
1955,A.90N-64N,-0.46
1955,B.64N-44N,-0.08
1955,C.44N-24N,0.23
1955,D.24N-EQU,-0.29
1955,F.EQU-24S,-0.38
1955,G.24S-44S,-0.15
1955,H.44S-64S,-0.08
1955,I.64S-90S,1.28
1956,A.90N-64N,-0.31
1956,B.64N-44N,-0.47
1956,C.44N-24N,-0.1
1956,D.24N-EQU,-0.28
1956,F.EQU-24S,-0.37
1956,G.24S-44S,-0.13
1956,H.44S-64S,0.02
1956,I.64S-90S,0.67
1957,A.90N-64N,0.05
1957,B.64N-44N,0.22
1957,C.44N-24N,-0.1
1957,D.24N-EQU,0.05
1957,F.EQU-24S,0.09
1957,G.24S-44S,-0.09
1957,H.44S-64S,-0.02
1957,I.64S-90S,0.45
1958,A.90N-64N,-0.09
1958,B.64N-44N,0.18
1958,C.44N-24N,0.13
1958,D.24N-EQU,0.26
1958,F.EQU-24S,0.14
1958,G.24S-44S,-0.08
1958,H.44S-64S,-0.08
1958,I.64S-90S,-0.55
1959,A.90N-64N,0.44
1959,B.64N-44N,0.17
1959,C.44N-24N,0.04
1959,D.24N-EQU,0.07
1959,F.EQU-24S,0.08
1959,G.24S-44S,-0.03
1959,H.44S-64S,-0.27
1959,I.64S-90S,-0.37
1960,A.90N-64N,0.34
1960,B.64N-44N,-0.05
1960,C.44N-24N,0.11
1960,D.24N-EQU,0.06
1960,F.EQU-24S,-0.01
1960,G.24S-44S,-0.1
1960,H.44S-64S,-0.07
1960,I.64S-90S,-0.79
1961,A.90N-64N,-0.13
1961,B.64N-44N,0.37
1961,C.44N-24N,0.17
1961,D.24N-EQU,-0.06
1961,F.EQU-24S,0.01
1961,G.24S-44S,0.14
1961,H.44S-64S,-0.18
1961,I.64S-90S,0.14
1962,A.90N-64N,0.67
1962,B.64N-44N,0.33
1962,C.44N-24N,0.14
1962,D.24N-EQU,-0.04
1962,F.EQU-24S,-0.05
1962,G.24S-44S,0.09
1962,H.44S-64S,-0.07
1962,I.64S-90S,-0.81
1963,A.90N-64N,0.02
1963,B.64N-44N,0.33
1963,C.44N-24N,0.13
1963,D.24N-EQU,0.14
1963,F.EQU-24S,0.1
1963,G.24S-44S,-0.11
1963,H.44S-64S,-0.17
1963,I.64S-90S,0.08
1964,A.90N-64N,-0.66
1964,B.64N-44N,-0.22
1964,C.44N-24N,-0.11
1964,D.24N-EQU,-0.13
1964,F.EQU-24S,-0.14
1964,G.24S-44S,-0.3
1964,H.44S-64S,-0.07
1964,I.64S-90S,-0.38
1965,A.90N-64N,-0.19
1965,B.64N-44N,-0.23
1965,C.44N-24N,-0.11
1965,D.24N-EQU,-0.07
1965,F.EQU-24S,0.02
1965,G.24S-44S,-0.23
1965,H.44S-64S,-0.03
1965,I.64S-90S,-0.08
1966,A.90N-64N,-0.69
1966,B.64N-44N,-0.16
1966,C.44N-24N,0.08
1966,D.24N-EQU,0.17
1966,F.EQU-24S,0
1966,G.24S-44S,-0.23
1966,H.44S-64S,-0.14
1966,I.64S-90S,0.13
1967,A.90N-64N,0.46
1967,B.64N-44N,0.26
1967,C.44N-24N,-0.07
1967,D.24N-EQU,-0.11
1967,F.EQU-24S,-0.16
1967,G.24S-44S,-0.09
1967,H.44S-64S,-0.02
1967,I.64S-90S,0.28
1968,A.90N-64N,-0.22
1968,B.64N-44N,-0.02
1968,C.44N-24N,-0.09
1968,D.24N-EQU,-0.01
1968,F.EQU-24S,-0.09
1968,G.24S-44S,-0.14
1968,H.44S-64S,0
1968,I.64S-90S,-0.11
1969,A.90N-64N,0.05
1969,B.64N-44N,-0.59
1969,C.44N-24N,-0.16
1969,D.24N-EQU,0.36
1969,F.EQU-24S,0.32
1969,G.24S-44S,0
1969,H.44S-64S,0.13
1969,I.64S-90S,0.01
1970,A.90N-64N,-0.18
1970,B.64N-44N,-0.13
1970,C.44N-24N,-0.06
1970,D.24N-EQU,0.07
1970,F.EQU-24S,0.07
1970,G.24S-44S,0.1
1970,H.44S-64S,0.03
1970,I.64S-90S,0.36
1971,A.90N-64N,-0.07
1971,B.64N-44N,0.01
1971,C.44N-24N,-0.1
1971,D.24N-EQU,-0.3
1971,F.EQU-24S,-0.23
